Group/Commodity,1970-71,1980-81,1990-91,2000-01,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15*
Foodgrains,124.3,126.7,127.8,121,121.3,126.7,124.8,120.8,125,122.1
Kharif,82.3,83.2,80.8,75.2,69.5,72.4,72.1,67.7,69.1,67.8
Rabi,42,43.5,47,45.8,51.8,54.3,52.7,53.1,56,54.3
Cereals,101.8,104.2,103.2,100.7,98,100.3,100.3,97.5,99.8,99
Kharif,72.9,72.8,69.3,64.6,58.9,60.1,60.9,57.7,58.7,58
Rabi,28.9,31.4,33.9,36.1,39.1,40.2,39.4,39.8,41.1,41
Coarse,45.9,41.8,36.3,30.3,27.7,28.3,26.4,24.8,25.2,24.1
Kharif,36.9,34.3,29.6,23.9,21.3,22.1,20.8,18.8,19.3,18.4
Rabi,9,7.4,6.7,6.4,6.4,6.3,5.7,5.9,5.9,5.8
Pulses,22.6,22.5,24.7,20.3,23.3,26.4,24.5,23.3,25.2,23.1
Kharif,9.5,10.4,11.5,10.6,10.6,12.3,11.2,10,10.3,9.8
Rabi,13.1,12.1,13.2,9.7,12.7,14.1,13.3,13.3,14.9,13.3
Rice,37.6,40.1,42.7,44.7,41.9,42.9,44,42.8,44.1,43.9
Kharif,36,38.4,39.7,40.7,37.6,38,40.1,38.9,39.4,39.7
Rabi,1.6,1.7,3,4,4.3,4.8,3.9,3.8,4.7,4.2
Wheat,18.2,22.3,24.2,25.7,28.5,29.1,29.9,30,30.5,31
Jowar,17.4,15.8,14.4,9.9,7.7,7.4,7.4,6.2,5.8,5.3
Kharif,10.9,10.2,8.6,4.9,3.2,3.1,3.1,2.4,2.3,2
Rabi,6.5,5.6,5.8,5,4.5,4.3,4.3,3.8,3.5,3.3
Maize,5.8,6,5.9,6.6,8.3,8.6,8.8,8.7,9.1,9.3
Bajra,12.9,11.7,10.5,9.8,8.9,9.6,8.8,7.3,7.8,7.1
Gram,7.8,6.6,7.5,5.2,8.2,9.2,8.3,8.5,9.9,8.2
Tur,2.7,2.8,3.6,3.6,3.5,4.4,4,3.9,3.9,3.7
Oilseeds,16.6,17.6,24.1,22.8,26,27.2,26.3,26.5,28.1,25.7
Kharif,10.8,10.2,14,15.8,18,18.2,18.4,18.3,19.7,18.3
Rabi,5.8,7.4,10.1,7,8,9,7.9,8.2,8.4,7.4
Groundnut,7.3,6.8,8.3,6.6,5.5,5.9,5.3,4.7,5.5,4.7
Kharif,,5.9,6.8,5.7,4.6,5,4.3,3.9,4.6,3.9
Rabi,,0.9,1.5,0.9,0.9,0.9,0.9,0.8,0.9,0.7
Rapeseed,3.3,4.1,5.8,4.5,5.6,6.9,5.9,6.4,6.6,5.8
Sugarcane,2.6,2.7,3.7,4.3,4.2,4.9,5,5,5,5.1
Cotton,7.6,7.8,7.4,8.6,10.1,11.2,12.2,12,12,13.1
Jute,1.1,1.3,1,1,0.9,0.9,0.9,0.9,0.8,0.8
Jute,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7
Mesta,0.3,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Plantation,,,,,,,,,,
Tea,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.6
Coffee (Plucked Area),0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4
Rubber (Tapped Area),0.2,0.3,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8
Potato,0.5,0.7,0.9,1.2,1.8,1.9,1.9,1.9,2,2.1
